SIF_UUID,PROGRAM_CODE,MANIFEST_ID
dbaab5a3-cb3d-46cf-9ec7-9ffcf79855a5,ELA_IR_IR_GK_2,I_13aaaaaa-aaaa-4aaa-a34a-978035809002
dbaab5a3-cb3d-46cf-9ec7-9ffcf79855a5,ELA_IR_G3_NA,I_13aaaaaa-aaaa-4aaa-a44a-978132854957
d50f6de9-8d5b-4697-90ec-fd7649fcb528,ELA_IR_G4_NA,I_13aaaaaa-aaaa-4aaa-a46a-978035805296
d50f6de9-8d5b-4697-90ec-fd7649fcb528,ELA_NGL_G7_NA,I_13aaaaaa-aaaa-4aaa-a46a-978132847526
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_G02,I_13aaaaaa-aaaa-4aaa-a3ea-978132845060
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODH,I_13aaaaaa-aaaa-4aaa-a42a-978054488231
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODI,I_13aaaaaa-aaaa-4aaa-a40a-978054488232
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODA,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_G01,I_13aaaaaa-aaaa-4aaa-a40a-978054470916
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_G03,I_13aaaaaa-aaaa-4aaa-a3ca-978132845061
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODL,I_13aaaaaa-aaaa-4aaa-a4aa-978054488247
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODD,I_13aaaaaa-aaaa-4aaa-a40a-978054488227
742132fa-643c-402d-8ad0-4231f041f435,SCI_NA18E_SCIDIM_MODI,I_13aaaaaa-aaaa-4aaa-a46a-978054488244
a9270a6e-df5b-4069-a02d-6e234c0d4dba,SCI_FL19E_FLSCI_G4,I_13aaaaaa-aaaa-4aaa-a4ea-978132845889
a9270a6e-df5b-4069-a02d-6e234c0d4dba,SCI_FL19E_FLSCI_G3,I_13aaaaaa-aaaa-4aaa-a50a-978132845888
b44ad42d-144c-4c0c-8221-9ee7a3a572a5,SCI_NA18E_SCIDIM_MODC,I_13aaaaaa-aaaa-4aaa-a42a-978054488226
b44ad42d-144c-4c0c-8221-9ee7a3a572a5,SCI_NA18E_SCIDIM_MODH,I_13aaaaaa-aaaa-4aaa-a3ea-978054488243
eaa39ae5-d209-4ade-8903-d92adcf9f5ee,SS_KD_NL2,I_13aaaaaa-aaaa-4aaa-a48a-978132888655
d8b5df75-e487-4931-bc21-81dac452992d,SS_NL18E_ECON,I_13aaaaaa-aaaa-4aaa-a40a-978054492805
